CALLER ID,AGENT,DATE,TIME,TOPIC,ANSWERED,RESOLVED,SPEED OF ANSWER IN SECOND,AVG. TALK DURATION,SATISFACTION RATE
C00128,Michael Brown,2/2/2025,7:18:44,Account Access,Y,Y,100,3.09,2.5
C00129,Sarah Johnson,6/16/2025,9:59:39,Payment Failure,N,N,210,0,2.6
C00130,James Anderson,1/5/2025,15:57:37,Refund Request,Y,N,90,18.86,4.9
C00131,Sophia Taylor,5/6/2025,20:32:16,Product Inquiry,Y,Y,104,24.72,4
C00132,James Anderson,2/17/2025,14:56:33,Payment Failure,N,N,121,0,1.5
C00133,John Smith,4/22/2025,19:53:10,Cancellation Request,N,N,142,0,2.6
C00134,Jessica Miller,1/20/2025,4:25:01,Payment Failure,Y,N,115,3.79,4.9
C00135,Sophia Taylor,1/29/2025,5:47:14,Cancellation Request,Y,Y,69,14.67,3.3
C00136,Daniel Moore,6/3/2025,10:27:33,Product Inquiry,Y,N,94,19.49,4.5
C00137,Jessica Miller,2/16/2025,8:12:07,Order Tracking,N,N,125,0,2.9
C00138,James Anderson,3/28/2025,7:27:53,Product Inquiry,N,N,286,0,1.9
C00139,Sophia Taylor,3/28/2025,7:24:57,Cancellation Request,Y,N,106,23.25,2.8
C00140,Daniel Moore,5/25/2025,13:01:49,Refund Request,Y,Y,44,20.58,2.7
C00141,Jessica Miller,4/10/2025,22:09:16,Billing Issue,N,N,235,0,2.9
C00142,Daniel Moore,3/6/2025,9:07:55,Service Complaint,N,N,213,0,2.2
C00143,Michael Brown,4/21/2025,22:33:55,Billing Issue,Y,N,20,15.05,2.9
C00144,Emily Davis,2/27/2025,12:26:49,Order Tracking,Y,N,95,12.73,4.3
C00145,Daniel Moore,2/8/2025,18:02:11,Service Complaint,Y,N,96,17.03,4.5
C00146,Olivia Thomas,2/19/2025,12:27:28,Technical Support,N,N,188,0,1.6
C00147,Michael Brown,1/22/2025,18:47:09,Account Access,Y,N,63,18.44,4
C00148,Jessica Miller,6/10/2025,3:24:39,Refund Request,N,N,181,0,2.8
C00149,Michael Brown,1/27/2025,14:01:16,Order Tracking,N,N,218,0,1.3
C00150,John Smith,2/7/2025,15:50:04,Account Access,N,N,288,0,3
C00151,David Wilson,4/16/2025,4:25:26,Account Access,N,N,137,0,2.5
C00152,David Wilson,4/17/2025,10:20:46,Cancellation Request,Y,Y,67,2.97,4.4
C00153,Michael Brown,6/16/2025,7:44:51,Product Inquiry,Y,Y,92,6.07,4.5
C00154,Emily Davis,1/3/2025,17:09:29,Subscription Renewal,N,N,215,0,1.7
C00155,Emily Davis,1/20/2025,17:48:09,Cancellation Request,Y,Y,59,24.02,3.1
C00156,Daniel Moore,4/2/2025,13:32:25,Order Tracking,N,N,210,0,1.5
C00157,Emily Davis,5/4/2025,17:48:17,Payment Failure,N,N,259,0,1.1
C00158,Sarah Johnson,6/30/2025,14:37:01,Account Access,N,N,188,0,1.6
C00159,Olivia Thomas,4/8/2025,15:12:57,Account Access,Y,Y,21,6.24,4.7
C00160,John Smith,4/24/2025,10:53:51,Product Inquiry,N,N,185,0,1.6
C00161,John Smith,6/16/2025,16:25:51,Payment Failure,Y,N,66,18.7,3.7
C00162,Jessica Miller,6/28/2025,16:00:33,Account Access,N,N,120,0,1.9
C00163,Jessica Miller,5/5/2025,8:37:29,Payment Failure,N,N,193,0,1.4
C00164,Sarah Johnson,4/3/2025,10:42:46,Service Complaint,N,N,227,0,2.6
C00165,Sophia Taylor,4/8/2025,7:01:43,Refund Request,Y,N,99,13.4,4.8
C00166,Sarah Johnson,5/9/2025,0:06:30,Order Tracking,Y,Y,93,16.4,2.8
C00167,Sarah Johnson,3/14/2025,3:55:52,Service Complaint,N,N,170,0,1.2
C00168,Daniel Moore,3/10/2025,1:35:36,Refund Request,N,N,154,0,1.7
C00169,David Wilson,6/28/2025,15:58:47,Billing Issue,Y,Y,21,12.33,3.2
C00170,Sophia Taylor,6/8/2025,4:55:39,Payment Failure,N,N,182,0,1.5
C00171,Emily Davis,1/10/2025,19:59:43,Technical Support,N,N,213,0,2.2
C00172,Sarah Johnson,3/8/2025,6:14:50,Payment Failure,Y,N,72,21.57,3.5
C00173,John Smith,6/18/2025,5:26:40,Order Tracking,N,N,210,0,2
C00174,Olivia Thomas,3/15/2025,6:03:52,Payment Failure,Y,N,110,2.3,3.9
C00175,Jessica Miller,2/24/2025,23:57:51,Refund Request,Y,Y,31,14.98,2.7
C00176,Olivia Thomas,2/12/2025,17:40:39,Billing Issue,Y,N,64,12.54,3.3
C00177,John Smith,1/17/2025,0:42:18,Order Tracking,Y,N,68,22.6,4.1
C00178,Sophia Taylor,6/22/2025,14:04:33,Cancellation Request,Y,N,50,14.43,3.7
C00179,Michael Brown,3/16/2025,21:50:06,Billing Issue,Y,N,105,3.45,3
C00180,John Smith,2/19/2025,7:57:58,Order Tracking,N,N,198,0,2.3
C00181,Sophia Taylor,4/17/2025,8:11:29,Service Complaint,Y,N,19,5.54,4.9
C00182,James Anderson,1/29/2025,4:01:26,Technical Support,Y,Y,58,6.39,3.4
C00183,Jessica Miller,2/14/2025,13:40:35,Technical Support,Y,N,9,14.71,3.6
C00184,Sarah Johnson,2/3/2025,8:10:30,Product Inquiry,N,N,198,0,2.3
C00185,Sophia Taylor,3/10/2025,8:51:42,Account Access,Y,Y,18,6.18,4
C00186,Sophia Taylor,5/5/2025,23:25:40,Service Complaint,Y,N,92,12.65,3.4
C00187,David Wilson,2/15/2025,10:47:46,Service Complaint,Y,N,42,2.49,2.6
C00188,Emily Davis,3/21/2025,0:48:38,Billing Issue,Y,Y,38,15.96,4.2
C00189,Daniel Moore,5/17/2025,13:55:29,Order Tracking,Y,N,119,19.76,3.6
C00190,John Smith,5/20/2025,11:46:20,Payment Failure,N,N,135,0,2.3
C00191,Sarah Johnson,6/9/2025,18:33:08,Technical Support,N,N,288,0,2.4
C00192,Olivia Thomas,4/24/2025,2:18:50,Billing Issue,N,N,200,0,2.8
C00193,Olivia Thomas,2/26/2025,19:58:08,Product Inquiry,Y,Y,90,12.85,3.8
C00194,David Wilson,2/18/2025,8:35:48,Product Inquiry,N,N,260,0,1.2
C00195,Emily Davis,2/10/2025,11:09:38,Cancellation Request,Y,N,30,15.31,3.9
C00196,Olivia Thomas,3/25/2025,13:45:32,Billing Issue,N,N,271,0,2.3
C00197,Olivia Thomas,6/6/2025,14:30:09,Refund Request,Y,Y,73,21.67,3.7
C00198,David Wilson,4/15/2025,7:32:51,Product Inquiry,N,N,149,0,2.2
C00199,Michael Brown,6/2/2025,17:50:39,Cancellation Request,N,N,211,0,2.1
C00200,John Smith,6/29/2025,14:36:53,Subscription Renewal,N,N,246,0,2
C00201,John Smith,2/12/2025,15:58:03,Service Complaint,Y,N,112,2.02,3.6
C00202,John Smith,4/17/2025,5:53:45,Service Complaint,Y,Y,63,7.37,3.9
C00203,Michael Brown,6/12/2025,23:53:41,Product Inquiry,N,N,180,0,1.4
C00204,Olivia Thomas,1/18/2025,12:25:24,Cancellation Request,Y,N,12,14.46,4.4
C00205,Michael Brown,2/16/2025,17:34:30,Technical Support,Y,N,80,13.15,4.5
C00206,Jessica Miller,4/14/2025,2:41:31,Billing Issue,Y,Y,7,18.88,3.1
C00207,Emily Davis,3/5/2025,1:57:02,Technical Support,N,N,284,0,2.8
C00208,Sarah Johnson,1/31/2025,2:24:38,Product Inquiry,Y,Y,113,12.44,4.7
C00209,Jessica Miller,4/7/2025,19:30:13,Product Inquiry,N,N,159,0,2
C00210,Michael Brown,3/17/2025,15:07:50,Service Complaint,Y,N,32,18.08,3.5
C00211,Daniel Moore,1/20/2025,0:56:50,Billing Issue,N,N,128,0,1.4
C00212,David Wilson,3/29/2025,6:52:08,Billing Issue,N,N,216,0,1.4
C00213,Olivia Thomas,5/21/2025,22:54:09,Technical Support,Y,N,47,13.06,3
C00214,John Smith,4/24/2025,9:05:39,Technical Support,Y,N,93,4.38,4.8
C00215,Michael Brown,4/15/2025,15:56:33,Refund Request,N,N,142,0,1.5
C00216,David Wilson,2/12/2025,7:19:57,Billing Issue,Y,Y,86,11.49,2.8
C00217,Michael Brown,1/20/2025,5:37:28,Order Tracking,N,N,139,0,2.2
C00218,Jessica Miller,3/2/2025,14:05:30,Account Access,Y,Y,111,5.97,4.5
C00219,John Smith,1/30/2025,17:29:10,Technical Support,N,N,215,0,1.9
C00220,John Smith,1/4/2025,3:42:14,Order Tracking,N,N,146,0,2.6
C00221,David Wilson,6/14/2025,2:44:59,Refund Request,Y,Y,15,17.75,4
C00222,John Smith,2/3/2025,1:45:35,Refund Request,N,N,231,0,1.4
C00223,Michael Brown,6/13/2025,12:51:25,Subscription Renewal,N,N,130,0,1.1
C00224,John Smith,3/11/2025,4:08:10,Refund Request,N,N,280,0,2.8
C00225,David Wilson,1/23/2025,10:46:57,Subscription Renewal,Y,N,12,9.48,2.5
C00226,Daniel Moore,4/9/2025,18:41:57,Service Complaint,N,N,268,0,2.7
C00227,James Anderson,3/22/2025,10:44:24,Subscription Renewal,Y,N,16,13.5,4.1
C00228,Michael Brown,3/9/2025,21:06:21,Service Complaint,Y,N,59,11.74,3.9
C00229,Sophia Taylor,4/1/2025,23:44:56,Refund Request,Y,Y,115,12.01,3.5
C00230,James Anderson,3/16/2025,17:44:22,Cancellation Request,N,N,218,0,1.8
C00231,Michael Brown,1/3/2025,4:03:23,Cancellation Request,N,N,247,0,1.9
C00232,Emily Davis,3/30/2025,22:10:23,Service Complaint,N,N,244,0,2.5
C00233,Jessica Miller,5/6/2025,23:23:16,Technical Support,Y,N,74,16.59,3.3
C00234,Michael Brown,5/26/2025,2:12:32,Refund Request,N,N,126,0,2.6
C00235,Olivia Thomas,6/20/2025,3:43:37,Product Inquiry,N,N,137,0,1.4
C00236,Sarah Johnson,1/7/2025,19:50:00,Account Access,Y,N,79,20.87,4.2
C00237,Sophia Taylor,4/22/2025,18:07:52,Order Tracking,N,N,155,0,1.1
C00238,David Wilson,5/3/2025,15:50:18,Subscription Renewal,N,N,273,0,2.3
C00239,Jessica Miller,3/23/2025,13:20:38,Service Complaint,N,N,251,0,2.2
C00240,Sarah Johnson,4/7/2025,11:50:18,Cancellation Request,N,N,262,0,1.9
C00241,Jessica Miller,6/16/2025,10:24:55,Service Complaint,Y,N,9,5.51,4.8
C00242,James Anderson,3/6/2025,12:21:57,Cancellation Request,N,N,271,0,2.9
C00243,Sarah Johnson,2/25/2025,8:12:07,Billing Issue,N,N,220,0,1.7
C00244,Daniel Moore,1/18/2025,6:56:55,Billing Issue,N,N,188,0,1.2
C00245,David Wilson,6/18/2025,21:14:54,Account Access,Y,N,64,13.62,2.6
C00246,James Anderson,4/18/2025,18:09:37,Technical Support,Y,Y,59,19.1,4
C00247,Olivia Thomas,5/25/2025,11:07:43,Subscription Renewal,Y,Y,102,13.07,3.9
C00248,Michael Brown,5/17/2025,0:56:03,Service Complaint,Y,N,76,19.44,3.1
C00249,Michael Brown,2/13/2025,15:14:18,Account Access,N,N,148,0,2.2
C00250,James Anderson,1/30/2025,14:20:21,Technical Support,N,N,266,0,2.2
C00251,Sarah Johnson,4/18/2025,21:43:51,Order Tracking,N,N,251,0,2.7
C00252,Emily Davis,6/28/2025,6:22:55,Order Tracking,N,N,182,0,2.5
C00253,Sophia Taylor,3/14/2025,3:05:01,Subscription Renewal,N,N,120,0,2.8
C00254,Sophia Taylor,6/14/2025,19:01:31,Technical Support,Y,N,42,11.05,2.7
C00255,John Smith,4/27/2025,5:28:03,Subscription Renewal,N,N,261,0,2.2
C00256,Sarah Johnson,1/27/2025,1:58:41,Billing Issue,N,N,207,0,2
C00257,John Smith,2/19/2025,9:27:15,Payment Failure,Y,N,114,12.18,4
C00258,Jessica Miller,2/9/2025,21:16:31,Payment Failure,N,N,191,0,1.8
C00259,Emily Davis,6/2/2025,22:25:48,Service Complaint,Y,Y,112,10.24,4.3
C00260,Sarah Johnson,3/23/2025,15:45:32,Product Inquiry,Y,Y,88,12.88,4.3
C00261,Daniel Moore,1/7/2025,11:42:59,Service Complaint,N,N,134,0,3
C00262,Jessica Miller,6/26/2025,14:10:23,Billing Issue,N,N,123,0,1.9
C00263,John Smith,4/3/2025,17:57:27,Service Complaint,Y,N,38,5.82,4.3
C00264,John Smith,5/28/2025,12:40:59,Subscription Renewal,N,N,237,0,1.8
C00265,Jessica Miller,3/17/2025,22:23:33,Refund Request,Y,Y,59,12.23,4.1
C00266,Sarah Johnson,6/9/2025,5:24:59,Payment Failure,Y,Y,49,15.1,4.8
C00267,Daniel Moore,4/13/2025,18:04:53,Refund Request,N,N,182,0,1.9
C00268,Daniel Moore,4/29/2025,17:10:22,Subscription Renewal,Y,N,11,7.87,2.9
C00269,Sophia Taylor,5/11/2025,0:42:53,Service Complaint,Y,Y,85,16.94,4.3
C00270,James Anderson,3/13/2025,20:34:16,Service Complaint,Y,N,102,20.59,2.9
C00271,Emily Davis,3/2/2025,3:26:48,Refund Request,N,N,159,0,2.6
C00272,Emily Davis,5/26/2025,5:58:36,Payment Failure,Y,N,110,22.72,4.1
C00273,Olivia Thomas,1/24/2025,22:18:40,Product Inquiry,Y,Y,105,7.15,3.5
C00274,Sarah Johnson,5/22/2025,16:53:17,Order Tracking,N,N,256,0,2.6
C00275,Sarah Johnson,4/3/2025,22:41:09,Account Access,Y,Y,78,18.97,2.6
C00276,David Wilson,1/16/2025,3:53:09,Account Access,N,N,242,0,2.1
C00277,Sophia Taylor,6/20/2025,18:07:42,Cancellation Request,N,N,249,0,2.3
C00278,David Wilson,4/29/2025,5:51:20,Payment Failure,N,N,230,0,2.2
C00279,Jessica Miller,4/30/2025,12:42:54,Product Inquiry,Y,Y,107,7.06,4.8
C00280,David Wilson,6/16/2025,6:04:01,Technical Support,Y,N,7,12.16,3.7
C00281,Daniel Moore,5/5/2025,11:37:30,Cancellation Request,Y,Y,92,20.3,4.9
C00282,Jessica Miller,3/17/2025,21:23:35,Refund Request,N,N,254,0,2.9
C00283,Emily Davis,3/15/2025,3:37:31,Service Complaint,Y,N,17,10.9,4.5
C00284,Sarah Johnson,1/30/2025,12:02:34,Billing Issue,Y,N,5,17.35,4.2
C00285,Sarah Johnson,2/21/2025,23:23:18,Refund Request,N,N,278,0,2.1
C00286,Emily Davis,1/5/2025,7:38:13,Cancellation Request,Y,N,21,23.72,3.3
C00287,Emily Davis,6/23/2025,2:00:08,Cancellation Request,Y,N,78,23.19,4.7
C00288,Emily Davis,3/17/2025,1:20:35,Product Inquiry,N,N,168,0,1.4
C00289,Jessica Miller,1/2/2025,4:16:02,Billing Issue,N,N,250,0,1.1
C00290,Jessica Miller,4/1/2025,13:44:20,Refund Request,Y,Y,57,19.66,4.6
C00291,Sarah Johnson,6/3/2025,15:45:02,Service Complaint,Y,N,17,19.94,4.9
C00292,James Anderson,2/20/2025,15:16:54,Service Complaint,Y,N,24,12.86,4.3
C00293,Emily Davis,1/7/2025,19:31:16,Refund Request,N,N,132,0,2.6
C00294,Jessica Miller,4/13/2025,18:28:25,Product Inquiry,Y,Y,91,16,2.8
C00295,Jessica Miller,3/23/2025,14:29:59,Billing Issue,Y,Y,61,14.38,4.7
C00296,Michael Brown,4/23/2025,17:03:10,Technical Support,Y,N,82,5.06,4.6
C00297,Michael Brown,4/11/2025,0:20:37,Billing Issue,Y,N,48,23.48,3.3
C00298,Daniel Moore,4/30/2025,4:25:24,Service Complaint,Y,N,82,21.32,2.6
C00299,Olivia Thomas,3/9/2025,22:27:42,Account Access,Y,N,94,2.3,4.7
C00300,John Smith,6/10/2025,17:17:10,Service Complaint,N,N,147,0,2.6
C00301,James Anderson,1/27/2025,0:42:43,Billing Issue,N,N,254,0,2
C00302,Jessica Miller,6/28/2025,9:58:24,Cancellation Request,Y,Y,40,23.31,3.1
C00303,Olivia Thomas,4/19/2025,8:26:39,Refund Request,Y,Y,108,24.07,2.9
C00304,Olivia Thomas,2/12/2025,20:50:38,Billing Issue,N,N,179,0,2.9
C00305,Sophia Taylor,4/28/2025,15:32:40,Subscription Renewal,Y,N,110,19.02,3.2
C00306,Daniel Moore,1/25/2025,0:54:31,Technical Support,N,N,120,0,1.7
C00307,Jessica Miller,6/16/2025,15:25:09,Refund Request,Y,N,23,15.95,3.7
C00308,James Anderson,4/15/2025,2:17:47,Account Access,Y,N,77,24.64,3.7
